"Suburb","Address","Rooms","Type","Price","Method","SellerG","Distance","Postcode","Bedroom2","Bathroom","Car","Landsize","BuildingArea","YearBuilt","CouncilArea"
"Glenroy","39 Melbourne Av",3,"h",670000,"S","Brace",13,"3046",NA,NA,NA,NA,NA,NA,""
"Kensington","61 Bangalore St",3,"h",1291000,"SP","Edward",4.2,"3031",3,1,1,416,NA,NA,"Melbourne"
"Preston","6/110 David St",2,"u",457500,"S","Nelson",8.8,"3072",NA,NA,NA,NA,NA,NA,""
"Surrey Hills","39 Bentley St",3,"h",1755000,"S","Fletchers",11.2,"3127",3,2,2,808,159,1970,"Whitehorse"
"Windsor","7/8 The Avenue",1,"u",501000,"PI","Noel",5.1,"3181",1,1,1,0,51,2005,"Port Phillip"
"Keilor East","1 Giuliano Ct",3,"h",700000,"VB","Nelson",12.8,"3033",3,2,2,288,116,1999,"Moonee Valley"
"Reservoir","22 Winter Cr",3,"h",795000,"S","Ray",11.2,"3073",NA,NA,NA,NA,NA,NA,""
"Sunshine","82 Hertford Rd",2,"h",688000,"S","Douglas",12.6,"3020",2,1,1,611,NA,NA,"Brimbank"
"Prahran","75 Pridham St",3,"h",1220000,"S","hockingstuart",4.5,"3181",3,2,1,112,100,1900,"Stonnington"
"Oakleigh","53 William St",3,"h",1050000,"SP","Buxton",14,"3166",3,2,2,544,146,1970,"Monash"
"Toorak","28 Bruce St",3,"h",2250000,"SP","Castran",4.6,"3142",3,3,2,575,205,1930,"Stonnington"
"Malvern","13/200 Wattletree Rd",1,"u",420000,"SP","hockingstuart",7.4,"3144",1,1,3,0,NA,NA,"Stonnington"
"Thornbury","28 Bradley Av",3,"h",1200000,"S","Nelson",6.5,"3071",NA,NA,NA,NA,NA,NA,""
"Caulfield North","2/688 Inkerman Rd",1,"u",310000,"VB","Jellis",8.1,"3161",NA,NA,NA,NA,NA,NA,""
"Maribyrnong","28 Hillside Cr",4,"h",961000,"S","Brad",8.7,"3032",NA,NA,NA,NA,NA,NA,""
"Burwood","45 Barnes Av",5,"h",1505000,"S","Tim",11.7,"3125",NA,NA,NA,NA,NA,NA,""
"Burwood","7 Wattlebird Ct",4,"h",2000000,"S","Fletchers",11.7,"3125",4,3,2,928,229,1996,"Whitehorse"
"Kealba","13 Woburn Cl",4,"h",500000,"S","hockingstuart",15,"3021",4,2,2,579,NA,NA,"Brimbank"
"Viewbank","42 Graham Rd",4,"h",1010000,"S","Miles",13.8,"3084",4,3,2,669,163,1960,"Banyule"
"Doncaster","12 Murillo Ct",5,"h",1535000,"PI","Ray",13.9,"3108",5,3,2,681,NA,NA,"Manningham"
"Melbourne","1701/594 St Kilda Rd",3,"u",1470000,"VB","Nelson",2.8,"3000",NA,NA,NA,NA,NA,NA,""
"Richmond","30 Rowena Pde",3,"h",1345000,"S","Biggin",2.6,"3121",3,1,1,209,128,1900,"Yarra"
"Fawkner","1 Imaroo St",4,"h",570500,"S","Ray",12.4,"3060",4,2,1,430,NA,NA,"Moreland"
"Fawkner","20 Penn Ct",3,"h",662000,"SP","Alexkarbon",12.4,"3060",4,2,2,620,NA,NA,"Moreland"
"Essendon","118a Ogilvie St",3,"t",955000,"S","Barry",8,"3040",NA,NA,NA,NA,NA,NA,""
"Maidstone","12 Bosquet St",3,"h",670000,"S","Sweeney",9.2,"3012",3,1,3,564,NA,NA,"Maribyrnong"
"Braybrook","2/8 Burnett Av",3,"h",600000,"S","Jas",10.8,"3019",NA,NA,NA,NA,NA,NA,""
"Travancore","2/9 Buckland St",2,"u",503000,"S","Nelson",5.3,"3032",2,1,1,0,NA,1960,"Moonee Valley"
"Reservoir","3/36 Myrtle Gr",2,"u",450000,"S","Nelson",11.2,"3073",2,1,1,95,NA,NA,"Darebin"
"Balwyn","4/4 Raynes St",2,"t",700000,"VB","Noel",9.7,"3103",2,1,1,104,NA,NA,"Boroondara"
"Carnegie","1/6 Rigby Av",2,"u",400000,"VB","Gary",11.4,"3163",NA,NA,NA,NA,NA,NA,""
"Ascot Vale","1 East St",3,"t",1000000,"S","Nelson",5.9,"3032",3,2,2,200,144,2003,"Moonee Valley"
"Richmond","247 Church St",3,"h",1010000,"PI","Jellis",2.6,"3121",3,1,1,199,105,1900,"Yarra"
"Brooklyn","11 Houston Ct",3,"h",892000,"S","hockingstuart",10.9,"3012",3,1,2,715,NA,NA,"Hobsons Bay"
"Ascot Vale","2/21 Harold St",2,"u",490000,"VB","Jellis",5.9,"3032",2,1,1,423,62,1970,"Moonee Valley"
"Coburg","89 Gordon St",3,"h",1286000,"S","Nelson",7.8,"3058",3,2,2,435,NA,NA,"Moreland"
"Armadale","4 Mercer Rd",3,"h",3512500,"S","Marshall",6.3,"3143",3,2,2,617,285,1998,"Stonnington"
"Oakleigh South","14 Bossington St",3,"h",981000,"S","Buxton",14.7,"3167",3,1,2,646,NA,NA,"Monash"
"Richmond","3 Mary St",3,"h",1075000,"S","Jellis",2.6,"3121",3,1,0,148,NA,NA,"Yarra"
"Ascot Vale","17 Ascot St",2,"h",705000,"PI","Nelson",5.9,"3032",2,1,3,252,108,1910,"Moonee Valley"
"Oak Park","96 Winifred St",3,"h",815500,"S","Brad",11.5,"3046",3,2,2,790,165,1940,"Moreland"
"Fitzroy North","2/148 Barkly St",3,"h",1110000,"SP","Nelson",3.5,"3068",NA,NA,NA,NA,NA,NA,""
"St Kilda","18 Crimea St",5,"h",5046000,"S","Abercromby's",6.1,"3182",5,3,3,1294,378,1884,"Port Phillip"
"Prahran","37 Wrights Tce",3,"h",1730000,"S","Jellis",4.5,"3181",2,2,1,210,NA,NA,"Stonnington"
"Altona","1/4 Deavey Ct",2,"u",540000,"VB","hockingstuart",13.8,"3018",NA,NA,NA,NA,NA,NA,""
"Preston","3 Avondale Rd",3,"h",980000,"S","Harcourts",8.8,"3072",3,2,1,479,121,1930,"Darebin"
"Toorak","1/53 Grange Rd",2,"u",838000,"S","hockingstuart",4.6,"3142",2,1,1,0,NA,NA,"Stonnington"
"Malvern East","6 Ramona Av",3,"h",1320000,"PI","Fletchers",11.2,"3145",NA,NA,NA,NA,NA,NA,""
"Thornbury","46 Rennie St",3,"h",1430000,"S","Nelson",6.5,"3071",3,2,2,365,NA,NA,"Darebin"
"Williamstown North","10/68 Kororoit Creek Rd",1,"u",285000,"S","Williams",8.9,"3016",1,1,1,0,NA,NA,"Hobsons Bay"
"Sunshine West","16 Mapledene Ct",3,"h",500000,"SP","Barry",13.5,"3020",3,1,1,541,133,1970,"Brimbank"
"Coburg North","4/97 Shorts Rd",2,"t",523000,"SP","hockingstuart",9.2,"3058",NA,NA,NA,NA,NA,NA,""
"South Yarra","9/46 Darling St",2,"u",625000,"S","Williams",3.3,"3141",2,1,1,1283,NA,NA,"Stonnington"
"Kensington","57 Eastwood St",3,"h",813500,"SP","Nelson",4.2,"3031",3,1,1,165,NA,NA,"Melbourne"
"Kingsbury","101 The Fairway",4,"h",610000,"S","Ray",12.4,"3083",4,1,1,465,120,1970,"Darebin"
"Carlton North","122 Amess St",3,"h",2210000,"S","Nelson",3.2,"3054",2,2,1,190,NA,NA,"Yarra"
"Balaclava","4/9 Gourlay St",2,"u",502500,"S","Buxton",6.6,"3183",2,1,1,0,65,1960,"Port Phillip"
"Camberwell","2/1021 Toorak Rd",2,"u",590000,"S","Jellis",7.8,"3124",2,1,1,0,NA,NA,"Boroondara"
"Coburg","56 The Grove",6,"h",1900000,"VB","hockingstuart",7.8,"3058",6,2,2,1060,NA,NA,"Moreland"
"Hawthorn East","16/799 Burwood Rd",2,"u",444000,"S","LITTLE",7.5,"3123",2,1,1,0,68,1970,"Boroondara"
"Port Melbourne","175 Farrell St",2,"h",1234500,"S","hockingstuart",3.8,"3207",3,1,0,183,185,NA,"Port Phillip"
"Port Melbourne","176 Dow St",3,"h",1080000,"S","Biggin",3.8,"3207",3,1,2,116,95,1910,"Port Phillip"
"Bulleen","4 Greenhill Ct",5,"h",1336000,"S","Barry",11.8,"3105",5,3,3,736,NA,NA,"Manningham"
"Murrumbeena","14/24 Rosella St",1,"u",256500,"S","Gary",12.1,"3163",1,1,1,0,37,1966,"Glen Eira"
"Malvern East","4/2 Green Gables Av",2,"u",866000,"S","Jellis",11.2,"3145",NA,NA,NA,NA,NA,NA,""
"Moonee Ponds","30 Tennyson St",3,"h",1505000,"S","Jellis",6.9,"3039",3,2,2,249,168,2007,"Moonee Valley"
"Seddon","10/117 Albert St",2,"u",355000,"S","Sweeney",6.6,"3011",2,1,1,0,71,1975,"Maribyrnong"
"Fitzroy","9/56 Leicester St",2,"t",710000,"S","Jellis",1.6,"3065",2,1,1,0,90,2002,"Yarra"
"Carnegie","5/35 Moonya Rd",2,"u",585000,"S","Australian",11.4,"3163",2,1,1,108,67,1970,"Glen Eira"
"Elsternwick","14/18 King St",2,"u",537000,"S","Biggin",8.5,"3185",2,1,1,0,79,1970,"Glen Eira"
"Richmond","229/253 Bridge Rd",1,"u",439000,"SP","Biggin",2.6,"3121",1,1,1,3516,56,2011,"Yarra"
"Kew","2/27 Pakington St",2,"u",610000,"SP","Nelson",5.6,"3101",2,1,1,745,72,1968,"Boroondara"
"Reservoir","1a Fordham Rd",2,"u",468000,"S","Ray",11.2,"3073",3,2,2,234,NA,NA,"Darebin"
"Gowanbrae","41 Marigold Cr",3,"h",690000,"SP","hockingstuart",13.6,"3043",NA,NA,NA,NA,NA,NA,""
"Bulleen","1/119 Willow Bnd",3,"t",790000,"S","Philip",11.8,"3105",NA,NA,NA,NA,NA,NA,""
"West Footscray","12 Stonemark Ct",3,"h",910000,"S","Biggin",8.2,"3012",3,1,1,412,162,1980,"Maribyrnong"
"Brighton","34 Middle Cr",4,"h",4375000,"S","hockingstuart",11.2,"3186",NA,NA,NA,NA,NA,NA,""
"Kew","419 Barkers Rd",3,"h",2770000,"S","Marshall",5.6,"3101",3,3,4,1197,NA,1927,"Boroondara"
"Sunshine","14 Staughton St",3,"h",600000,"S","Sweeney",12.6,"3020",3,1,1,0,126,1950,"Brimbank"
"Keilor East","60 Wonganella Dr",3,"h",680000,"S","Nelson",12.8,"3033",3,1,2,558,105,1980,"Moonee Valley"
"Hampton","15 Avelin St",4,"h",1800000,"S","RT",13.7,"3188",4,2,1,667,184,1935,"Bayside"
"Thornbury","34a Newman St",2,"h",720000,"PI","Love",6.5,"3071",NA,NA,NA,NA,NA,NA,""
"Rosanna","166 Rosanna Rd",3,"h",620000,"VB","Miles",11.4,"3084",3,1,0,454,134,1940,"Banyule"
"Ashburton","16a Nicholas St",3,"h",1100000,"PI","Marshall",11,"3147",3,3,2,276,178,2004,"Boroondara"
"Brunswick","25 Gray St",4,"h",1755000,"S","Jellis",5.2,"3056",4,2,1,354,199,1910,"Moreland"
"Preston","10 Tyler St",3,"h",550000,"VB","Love",8.8,"3072",3,2,1,164,NA,NA,"Darebin"
"Viewbank","4 The Glade",3,"h",960000,"S","Miles",13.8,"3084",4,2,2,656,183,1990,"Banyule"
"Glen Huntly","83 Grange Rd",3,"h",1160000,"S","Gary",10.4,"3163",3,1,2,553,137,1930,"Glen Eira"
"Balwyn North","85 Tannock St",3,"h",1575000,"PI","Noel",9.2,"3104",3,2,2,645,NA,1953,"Boroondara"
"Hawthorn","1/185 Auburn Rd",3,"u",956000,"S","Jellis",4.6,"3122",3,2,2,189,NA,NA,"Boroondara"
"South Melbourne","119 Park St",2,"u",600000,"S","Greg",2.1,"3205",2,1,1,0,NA,NA,"Port Phillip"
"Bentleigh East","81 Kennedy St",6,"h",1300000,"S","Buxton",13.9,"3165",NA,NA,NA,NA,NA,NA,""
"Prahran","13/20 St Edmonds Rd",2,"u",560000,"S","Dingle",4.5,"3181",2,1,1,0,71,2000,"Stonnington"
"Ascot Vale","57 The Parade",3,"h",940000,"S","Nelson",5.9,"3032",3,3,1,491,127,1950,"Moonee Valley"
"Niddrie","2 Kelvin Cl",4,"h",1080000,"S","Nelson",11.2,"3042",3,3,2,539,162,1976,"Moonee Valley"
"Hawthorn","74 Denham St",2,"h",1535000,"S","LITTLE",4.6,"3122",2,1,0,243,NA,NA,"Boroondara"
"Richmond","8 George St",2,"h",1189000,"S","Biggin",2.6,"3121",2,1,0,158,110,1900,"Yarra"
"Brighton East","19 Bourneville Av",4,"h",2800000,"PI","Marshall",10.7,"3187",NA,NA,NA,NA,NA,NA,""
"Pascoe Vale","4/143 Sussex St",3,"u",533000,"SP","Brad",9.9,"3044",3,2,2,197,111,2007,"Moreland"
"Brighton","114A Bay St",2,"t",1230000,"S","Hodges",11.2,"3186",2,2,2,201,NA,NA,"Bayside"
"Caulfield North","11 Arthur St",3,"h",1400000,"SP","Gary",8.1,"3161",3,1,0,270,139,1910,"Glen Eira"
"Balwyn North","20 Ajax St",4,"h",1620000,"S","Jellis",9.2,"3104",4,2,1,654,NA,1960,"Boroondara"
"Glen Iris","15 Howitt St",4,"h",3010000,"S","Kay",9.2,"3146",3,3,2,677,NA,1910,"Boroondara"
"Bulleen","1/15 Estelle St",3,"u",787000,"S","Barry",11.8,"3105",3,1,2,306,100,1985,"Manningham"
"Oakleigh South","10 Cameron Av",3,"h",1125000,"S","Woodards",14.7,"3167",NA,NA,NA,NA,NA,NA,""
"Carnegie","48 Blackwood St",5,"h",1802100,"S","hockingstuart",11.4,"3163",4,2,2,366,NA,NA,"Glen Eira"
"Balwyn North","237a Balwyn Rd",5,"h",1310000,"PI","Appleby",9.2,"3104",NA,NA,NA,NA,NA,NA,""
"Avondale Heights","1/5 South Tce",3,"u",500000,"S","Nelson",10.5,"3034",3,1,1,260,NA,1990,"Moonee Valley"
"Brunswick","302/10 Pottery Ct",2,"u",450000,"PI","Hodges",5.2,"3056",NA,NA,NA,NA,NA,NA,""
"Templestowe Lower","13 Alburnum Cr",3,"h",982000,"S","Fletchers",13.8,"3107",NA,NA,NA,NA,NA,NA,""
"Heidelberg","7/75 Rosanna Rd",2,"h",490000,"PI","Purplebricks",10.6,"3084",2,1,1,187,89,1980,"Banyule"
"Glen Iris","8/18 Edgar St",2,"u",680000,"S","hockingstuart",9.2,"3146",2,1,1,0,NA,NA,"Stonnington"
"Alphington","5/6 Yarralea St",3,"h",1110000,"S","Jellis",6.4,"3078",3,2,2,208,NA,2013,"Yarra"
"Ascot Vale","2/78 Ormond Rd",2,"h",636500,"S","Jellis",5.9,"3032",2,1,1,0,NA,NA,"Moonee Valley"
"Bentleigh","2/15 Jasper Rd",2,"u",725000,"S","hockingstuart",13,"3204",2,1,1,227,100,1990,"Glen Eira"
"Mont Albert","3/7 Leopold Cr",2,"u",768000,"S","Fletchers",11.8,"3127",NA,NA,NA,NA,NA,NA,""
"Ormond","6/13 Ulupna Rd",1,"u",296000,"SP","Thomson",11.8,"3204",1,1,1,0,36,1970,"Glen Eira"
"St Kilda","77 Spenser St",3,"h",1900000,"S","Pride",6.1,"3182",3,2,2,289,122,1979,"Port Phillip"
"Surrey Hills","6/38 Boisdale St",2,"u",640000,"VB","Jellis",11.2,"3127",2,1,1,0,76,1970,"Whitehorse"
"Sunshine West","3 Iluka Ct",3,"h",581000,"SP","Jas",13.5,"3020",3,1,4,656,NA,1970,"Brimbank"
"South Yarra","702/700 Chapel St",1,"u",510000,"SP","hockingstuart",3.3,"3141",1,1,1,0,NA,2000,"Stonnington"
"Alphington","5/5 Yarana Rd",2,"u",390000,"VB","Nelson",6.4,"3078",2,1,1,0,60,1960,"Darebin"
"Maidstone","8/101 Ballarat Rd",2,"u",275000,"PI","Burnham",9.2,"3012",2,1,1,1972,63,1960,"Maribyrnong"
"Fitzroy North","8/3 Miller St",2,"t",750000,"S","Woodards",3.5,"3068",2,2,2,0,95,2002,"Yarra"
"Northcote","1/5 Emmaline St",2,"u",460000,"VB","Nelson",5.5,"3070",2,1,1,0,65,2009,"Darebin"
"Williamstown","164 Coogee La",5,"h",1410000,"SP","Sweeney",8,"3016",5,2,2,195,260,NA,"Hobsons Bay"
"Brunswick","234 Victoria St",2,"h",1026000,"S","Nelson",5.2,"3056",2,1,0,225,108,1905,"Moreland"
"Hawthorn","36 College St",2,"h",2265000,"S","Morrison",4.6,"3122",2,1,1,460,NA,NA,"Boroondara"
"Carnegie","1/26 Mernda Av",4,"t",1205000,"S","Gary",11.4,"3163",NA,NA,NA,NA,NA,NA,""
"Newport","46 River St",4,"h",940000,"VB","Williams",8.4,"3015",3,2,1,379,172,1930,"Hobsons Bay"
"Glen Iris","4/15 Rix St",2,"u",720000,"VB","Jellis",9.2,"3146",2,1,2,0,74,1940,"Boroondara"
"Templestowe Lower","8 Corroboree Pl",3,"h",1200000,"S","Jellis",13.8,"3107",3,1,2,730,155,1960,"Manningham"
"Brighton East","2 Glencairn Av",4,"h",1600000,"VB","Buxton",10.7,"3187",NA,NA,NA,NA,NA,NA,""
"Spotswood","4 Steel St",3,"h",690000,"S","Biggin",7.7,"3015",4,1,2,532,518,1965,"Hobsons Bay"
"South Yarra","6/432 Punt Rd",2,"u",450000,"VB","hockingstuart",3.3,"3141",2,1,1,0,NA,NA,"Stonnington"
"Niddrie","51 Garnet St",1,"h",1330000,"S","Brad",11.2,"3042",1,1,1,846,NA,NA,"Moonee Valley"
"Ascot Vale","32 Geddes St",4,"h",1110000,"PI","Nelson",5.9,"3032",4,2,1,349,NA,1920,"Moonee Valley"
"Preston","35 James St",4,"h",810000,"S","Ray",8.8,"3072",4,2,2,1034,151,1950,"Banyule"
"Braybrook","25 Errol St",4,"h",550000,"S","Barry",10.8,"3019",4,2,1,288,160,2000,"Maribyrnong"
"Brunswick","30 Mountfield St",2,"h",1073000,"S","Jellis",5.2,"3056",2,1,1,182,NA,NA,"Moreland"
"Bentleigh","11A Mortimore St",3,"h",1222500,"S","Ray",13,"3204",3,2,2,299,181,2000,"Glen Eira"
"Airport West","22a Walters Av",3,"u",820000,"S","Nelson",13.5,"3042",NA,NA,NA,NA,NA,NA,""
"Pascoe Vale","2 Hazel Gr",2,"h",915000,"S","New",9.9,"3044",2,1,3,629,NA,1975,"Moreland"
"Canterbury","47 Warburton Rd",3,"h",1680000,"S","Fletchers",9,"3126",3,2,1,325,197,1910,"Boroondara"
"Bentleigh East","18 Dega Av",4,"h",1108000,"S","Woodards",13.9,"3165",NA,NA,NA,NA,NA,NA,""
"Ashburton","3 Mustang Ct",3,"h",1500000,"VB","Jellis",11,"3147",3,2,2,710,139,1945,"Boroondara"
"Preston","1a Goldsmith Av",2,"t",571000,"S","Barry",8.8,"3072",NA,NA,NA,NA,NA,NA,""
"Altona North","10 Murphy St",4,"h",965000,"SP","Gunn&Co",11.1,"3025",4,1,4,851,NA,NA,"Hobsons Bay"
"Templestowe Lower","2/257 Thompsons Rd",4,"h",1100000,"VB","Lindellas",13.8,"3107",NA,NA,NA,NA,NA,NA,""
"Albert Park","13/52 Moubray St",1,"u",442500,"S","Marshall",3.3,"3206",1,1,0,0,34,1970,"Port Phillip"
"Kew","178 Peel St",5,"h",2650000,"VB","Marshall",5.6,"3101",NA,NA,NA,NA,NA,NA,""
"Oakleigh South","28 Devoy St",3,"h",1260500,"S","Buxton",14.7,"3167",3,1,1,774,107,1950,"Monash"
"Preston","15 Watson St",3,"h",900000,"SP","Love",8.8,"3072",3,1,1,472,147,1965,"Darebin"
"Pascoe Vale","3 Dromana Av",2,"h",818000,"S","Nelson",9.9,"3044",NA,NA,NA,NA,NA,NA,""
"Carnegie","27 Morgan St",5,"h",1900000,"PI","Buxton",11.4,"3163",5,3,1,564,NA,1930,"Glen Eira"
"Murrumbeena","11 Perth St",3,"h",1470000,"S","Hodges",12.1,"3163",3,1,2,701,NA,NA,"Glen Eira"
"Murrumbeena","3/59 Poath Rd",2,"h",692000,"S","Gary",12.1,"3163",2,1,2,0,NA,1991,"Glen Eira"
"Ascot Vale","106/246 Union Rd",3,"u",790000,"PI","Weda",5.9,"3032",3,2,1,0,148,NA,"Moonee Valley"
"Balwyn North","9 Gildan St",3,"h",2000000,"VB","Kay",9.2,"3104",3,1,2,75100,NA,NA,"Boroondara"
"Ivanhoe","1/10 Oriel Rd",3,"t",700000,"S","Barry",7.9,"3079",3,2,1,189,110,1990,"Banyule"
"Hughesdale","20 Dalston Rd",3,"h",1340000,"S","Ray",13,"3166",3,1,1,705,128,1920,"Monash"
"Caulfield South","1 Rotorua St",2,"h",1012000,"S","Gary",9.3,"3162",2,1,1,0,NA,NA,"Glen Eira"
"Balwyn North","3 Highbury St",3,"h",2000000,"S","R&H",9.2,"3104",3,1,3,772,NA,NA,"Boroondara"
"Niddrie","142 Hotham Rd",2,"u",522500,"SP","Nelson",11.2,"3042",2,1,1,167,NA,NA,"Moonee Valley"
"Glen Iris","6/219 Burke Rd",1,"u",328000,"S","Jellis",9.2,"3146",1,1,0,0,NA,NA,"Boroondara"
"Malvern East","32/997 Dandenong Rd",2,"u",350000,"VB","Ray",11.2,"3145",NA,NA,NA,NA,NA,NA,""
"South Kingsville","56b Vernon St",2,"t",611000,"SP","Williams",9.1,"3015",2,1,1,228,100,2000,"Hobsons Bay"
"Richmond","10 Wiltshire St",3,"h",930000,"S","Biggin",2.6,"3121",NA,NA,NA,NA,NA,NA,""
"Richmond","2/310 Burnley St",3,"t",911000,"S","Biggin",2.6,"3121",3,2,1,0,110,2000,"Yarra"
"Williamstown","77 Melbourne Rd",3,"h",1210000,"S","Williams",8,"3016",3,1,0,249,85,1910,"Hobsons Bay"
"Elwood","3/44 Scott St",3,"t",940000,"S","Chisholm",7.7,"3184",3,1,1,0,NA,NA,"Port Phillip"
"Caulfield East","4 Lord St",3,"h",1380000,"S","Bayside",9.3,"3145",3,1,2,658,NA,NA,"Glen Eira"
"Bulleen","14 Kandanga Gr",3,"h",1075000,"S","Jellis",11.8,"3105",3,1,1,604,96,1960,"Manningham"
"Bentleigh","13 Horsley St",2,"h",910000,"S","Buxton",13,"3204",2,1,2,274,96,1970,"Glen Eira"
"Brunswick","2/825 Park St",1,"u",440000,"S","Nelson",5.2,"3056",1,1,1,0,NA,NA,"Moreland"
"Sunshine West","73 Talintyre Rd",3,"h",496000,"S","Barry",13.5,"3020",3,1,2,780,NA,NA,"Brimbank"
"Camberwell","1288 Toorak Rd",4,"h",3225000,"SA","RT",7.8,"3124",4,3,2,934,NA,NA,"Boroondara"
"Richmond","10 Botherambo St",2,"t",1200000,"SP","Jellis",2.6,"3121",2,2,1,170,89,1940,"Yarra"
"North Melbourne","12/700 Queensberry St",2,"u",606000,"S","Nelson",2.3,"3051",2,1,2,0,84,2000,"Melbourne"
"Melbourne","1018/422 Collins St",2,"u",692000,"S","Greg",2.8,"3000",NA,NA,NA,NA,NA,NA,""
"Brighton","11 Foote St",4,"h",4250000,"S","Biggin",11.2,"3186",4,3,2,750,NA,NA,"Bayside"
"Armadale","14/71 Denbigh Rd",3,"u",995000,"S","Marshall",6.3,"3143",3,2,2,0,100,1998,"Stonnington"
"Kingsville","4 Kingsville St",2,"h",816000,"S","Village",7.8,"3012",NA,NA,NA,NA,NA,NA,""
"Strathmore","25 Hayes Rd",5,"h",1440000,"S","Barry",9.7,"3041",5,3,2,617,347,1990,"Moonee Valley"
"Moonee Ponds","2/102 Bent St",3,"t",870000,"S","Nelson",6.9,"3039",3,2,2,156,152,2000,"Moonee Valley"
"Essendon","1/14 Forrester St",2,"u",645000,"S","Barry",8,"3040",2,1,1,228,NA,NA,"Moonee Valley"
"Brighton","6/30 Boxshall St",2,"u",850000,"PI","Buxton",11.2,"3186",2,1,1,0,NA,NA,"Bayside"
"South Yarra","9/51 Davis Av",1,"u",460000,"S","Marshall",3.3,"3141",NA,NA,NA,NA,NA,NA,""
"Parkville","152 Park Dr",2,"h",2200000,"S","Collins",2.6,"3052",2,2,1,190,172,1875,"Melbourne"
"Preston","11a Lahinch St",2,"t",662500,"SP","Brace",8.8,"3072",NA,NA,NA,NA,NA,NA,""
"Hawthorn","11/70 Church St",3,"u",630000,"S","Jellis",4.6,"3122",3,1,1,0,75,1970,"Boroondara"
"Avondale Heights","17 Cannes Av",4,"h",820000,"VB","Nelson",10.5,"3034",NA,NA,NA,NA,NA,NA,""
"Fitzroy North","186 Queens Pde",2,"t",930000,"S","Nelson",3.5,"3068",2,3,0,2778,3558,NA,"Yarra"
"Oakleigh South","31 Riley St",4,"h",1310000,"S","Buxton",14.7,"3167",4,2,4,993,NA,1960,"Monash"
"Reservoir","54 Liston Av",3,"h",635000,"S","Barry",11.2,"3073",NA,NA,NA,NA,NA,NA,""
"Hadfield","70 West St",3,"h",840000,"S","Barry",12.1,"3046",3,1,2,608,NA,NA,"Moreland"
"Moorabbin","52 Bulli St",3,"h",1417250,"S","Buxton",14.6,"3189",3,2,2,653,180,1950,"Kingston"
"South Yarra","91/390 Toorak Rd",2,"u",1030000,"VB","Sotheby's",3.3,"3141",2,2,1,0,NA,NA,"Stonnington"
"Sunshine","127 Duke St",3,"h",655000,"S","Bells",12.6,"3020",3,1,1,497,NA,NA,"Brimbank"
"Abbotsford","129 Charles St",2,"h",941000,"S","Jellis",2.5,"3067",2,1,0,181,NA,NA,"Yarra"
"Coburg North","27 Snapshot Dr",5,"h",1172000,"S","Ray",9.2,"3058",5,3,2,425,37,2014,"Moreland"
"Preston","12a Austral Av",4,"t",995000,"S","Nelson",8.8,"3072",NA,NA,NA,NA,NA,NA,""
"Carlton","22 Faraday St",2,"h",1460000,"S","Nelson",1.8,"3053",2,1,0,99,NA,NA,"Melbourne"
"Murrumbeena","22 Brett St",5,"h",1300000,"PI","Buxton",12.1,"3163",5,2,2,683,223,1960,"Glen Eira"
"Balwyn","36 Narrak Rd",4,"h",1800000,"VB","Marshall",9.7,"3103",4,2,2,715,218,1985,"Boroondara"
"Melbourne","1/5 Davisons Pl",2,"u",671000,"SP","MICM",2.8,"3000",2,1,1,0,NA,NA,"Melbourne"
"Maribyrnong","5 Kallara Gr",3,"t",730000,"S","Nelson",8.7,"3032",3,1,2,250,132,2000,"Maribyrnong"
"Ashwood","4 Scenic Dr",4,"h",1500000,"S","Fletchers",12.2,"3147",2,2,2,621,203,2000,"Monash"
"Port Melbourne","39 Heath St",2,"h",900000,"SP","Cayzer",3.8,"3207",2,1,0,124,70,1900,"Port Phillip"
"Viewbank","24 Northwood Dr",5,"h",1025000,"S","Nelson",13.8,"3084",5,3,2,531,233,1978,"Banyule"
"Templestowe Lower","331a High St",4,"h",1505000,"S","hockingstuart",13.8,"3107",NA,NA,NA,NA,NA,NA,""
"Elsternwick","22 Ross St",2,"h",895000,"S","Owen",8.5,"3185",2,1,1,147,81,1915,"Glen Eira"
"Balwyn North","39 Kawarren St",4,"h",1388800,"S","Jellis",9.2,"3104",3,2,1,517,247,1970,"Boroondara"
"St Kilda","5/42 Grey St",2,"u",535000,"S","Greg",6.1,"3182",2,1,1,0,70,1930,"Port Phillip"
"Bentleigh East","1/112 Tambet St",2,"h",742500,"S","Woodards",13.9,"3165",2,1,1,300,135,1960,"Glen Eira"
"Sunshine West","22 Bambara Ct",4,"h",705000,"S","Douglas",13.5,"3020",4,2,4,759,198,1975,"Brimbank"
"Aberfeldie","2/30 Caroline St",3,"t",935000,"SP","Nelson",9.1,"3040",3,2,2,217,149,2005,"Moonee Valley"
"Kensington","13 Youlden St",3,"h",870000,"S","Greg",4.2,"3031",3,1,1,211,95,1992,"Melbourne"
"Pascoe Vale","3 Hazel Gr",3,"h",1465000,"S","Nelson",9.9,"3044",3,1,2,956,NA,NA,"Moreland"
"Brunswick","17 Dunstan Av",3,"h",1276000,"SP","Nelson",5.2,"3056",NA,NA,NA,NA,NA,NA,""
"Richmond","92 Madden Gr",2,"h",881000,"SP","Jellis",2.6,"3121",NA,NA,NA,NA,NA,NA,""
"Malvern East","29 MacGregor St",3,"h",1915000,"PI","C21",11.2,"3145",3,2,2,700,126,1920,"Stonnington"
